Action 4732204 : 0.0 s (cum. time 128.775 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732205 : 0.0 s (cum. time 128.775 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732206 : 0.0 s (cum. time 128.775 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732207 : 0.0 s (cum. time 128.775 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732208 : 0.0 s (cum. time 128.775 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732209 : 0.0 s (cum. time 128.775 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732210 : 0.0 s (cum. time 128.775 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732211 : 0.0 s (cum. time 128.7751 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732212 : 0.0 s (cum. time 128.7751 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732213 : 0.0 s (cum. time 128.7751 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732214 : 0.0 s (cum. time 128.7751 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732215 : 0.0 s (cum. time 128.7751 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732216 : 0.0 s (cum. time 128.7751 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732217 : 0.0 s (cum. time 128.7751 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732218 : 0.0 s (cum. time 128.7751 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732219 : 0.0 s (cum. time 128.7751 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732220 : 0.0 s (cum. time 128.7751 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732221 : 0.0 s (cum. time 128.7751 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732222 : 0.0 s (cum. time 128.7752 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732223 : 0.0 s (cum. time 128.7752 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732224 : 0.0 s (cum. time 128.7752 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
